(0) (*, unit_size, 1, t0)
(1) ([], b, t0, t1)
(2) (=, a, _, t1)
(3) (*, unit_size, 1, t2)
(4) ([], c, t2, t3)
(5) (=, t3, _, 1)
(6) (*, unit_size, e, t4)
(7) ([], d, t4, t5)
(8) (*, unit_size, g, t6)
(9) ([], f, t6, t7)
(10) (+, t7, 2, t8)
(11) (=, t5, _, t8)
(12) (+, i, j, t9)
(13) (*, t9, k, t10)
(14) (*, m, width_2, t11)
(15) (+, t11, n, t11)
(16) (*, l, width_3, t12)
(17) (+, t12, t11, t12)
(18) (*, t10, width_4, t13)
(19) (+, t13, t12, t13)
(20) (*, unit_size, t13, t14)
(21) ([], h, t14, t15)
(22) (*, q, width_2, t16)
(23) (+, t16, r, t16)
(24) (*, p, width_3, t17)
(25) (+, t17, t16, t17)
(26) (*, unit_size, t17, t18)
(27) ([], o, t18, t19)
(28) (*, s, t, t20)
(29) (-, t19, t20, t21)
(30) (=, t15, _, t21)
